State,Year,Transaction_Name,Transaction_count,Transaction_amount
Jammu and Kashmir,2020,Peer-to-peer payments,5839227,34655417419.11673
Jammu and Kashmir,2020,Recharge & bill payments,4275918,1537734827.8352938
Jammu and Kashmir,2021,Financial Services,73048,104757237.0574377
Jammu and Kashmir,2021,Merchant payments,12502514,13793799457.641817
Jammu and Kashmir,2021,Others,487990,249835424.38177264
Jammu and Kashmir,2021,Peer-to-peer payments,19228747,92310904101.78682
Jammu and Kashmir,2021,Recharge & bill payments,14674759,4017490174.6793213
Jammu and Kashmir,2022,Financial Services,72306,100860019.75898433
Jammu and Kashmir,2022,Merchant payments,38341804,31965388091.83261
Jammu and Kashmir,2022,Others,591684,299778044.55505097
Jammu and Kashmir,2022,Peer-to-peer payments,32813890,126152697676.80936
Jammu and Kashmir,2022,Recharge & bill payments,18089926,6162281047.580742
Jammu and Kashmir,2023,Financial Services,85316,129284533.0
Jammu and Kashmir,2023,Merchant payments,81059539,48811909634.0
Jammu and Kashmir,2023,Others,652558,300316164.0
Jammu and Kashmir,2023,Peer-to-peer payments,51104463,160014264981.0
Jammu and Kashmir,2023,Recharge & bill payments,24517246,9212126075.0
Jharkhand,2018,Financial Services,621653,185577795.45145938
Jharkhand,2018,Merchant payments,1330021,733850344.1947477
Jharkhand,2018,Others,352254,354624828.9714147
Jharkhand,2018,Peer-to-peer payments,11514492,23799113520.43689
Jharkhand,2018,Recharge & bill payments,5919245,926083618.754711
Jharkhand,2019,Financial Services,381287,224943595.74867338
Jharkhand,2019,Merchant payments,11068184,4474340114.068586
Jharkhand,2019,Others,419083,321002019.5351644
Jharkhand,2019,Peer-to-peer payments,27117455,74119455547.45146
Jharkhand,2019,Recharge & bill payments,12999175,2723918848.056797
Jharkhand,2020,Financial Services,220943,288954362.7062811
Jharkhand,2020,Merchant payments,30150802,19472420550.76575
Jharkhand,2020,Others,376949,218713361.04840195
Jharkhand,2020,Peer-to-peer payments,46025661,166398813267.2707
Jharkhand,2020,Recharge & bill payments,28149975,8146323237.458475
Jharkhand,2021,Financial Services,228996,260769782.99762934
Jharkhand,2021,Merchant payments,111225467,76628794095.97972
Jharkhand,2021,Others,722398,391901302.3632011
Jharkhand,2021,Peer-to-peer payments,112925259,383439581681.85394
Jharkhand,2021,Recharge & bill payments,40326432,15369083693.962025
Jharkhand,2022,Financial Services,267404,283669908.4995726
Jharkhand,2022,Merchant payments,287333644,182579148563.01794
Jharkhand,2022,Others,829772,469004082.00300753
Jharkhand,2022,Peer-to-peer payments,223299736,718039352532.6085
Jharkhand,2022,Recharge & bill payments,54221353,26349881341.715176
Jharkhand,2023,Financial Services,327727,365572225.0
Jharkhand,2023,Merchant payments,459970889,245704266154.0
Jharkhand,2023,Others,699392,405663981.0
Jharkhand,2023,Peer-to-peer payments,315570032,925194325233.0
Jharkhand,2023,Recharge & bill payments,71361382,36300659956.0
Karnataka,2018,Financial Services,849304,267770303.21697897
Karnataka,2018,Merchant payments,18414553,8689277829.537968
Karnataka,2018,Others,2427611,1975257004.2315462
Karnataka,2018,Peer-to-peer payments,44956615,152051772354.70035
