State_Name,Year,District,Total_Count,Amount
Assam,2023,sivasagar district,5671824,8472249547.0
Assam,2023,sonitpur district,18350106,26756682429.0
Assam,2023,south salmara mancachar district,5798276,13480617305.0
Assam,2023,tinsukia district,11700761,19445502636.0
Assam,2023,udalguri district,6128682,9908514565.0
Assam,2023,west karbi anglong district,962871,1553501613.0
Bihar,2018,araria district,617576,1507492974.9711695
Bihar,2018,arwal district,245956,300863166.24704903
Bihar,2018,aurangabad district,896125,1246705469.1304798
Bihar,2018,banka district,308399,360034551.30207074
Bihar,2018,begusarai district,889100,1345289647.292031
Bihar,2018,bhagalpur district,1322527,1896895295.9625142
Bihar,2018,bhojpur district,855146,1287992249.3283172
Bihar,2018,buxar district,464483,648217108.1448338
Bihar,2018,darbhanga district,1469109,2701374857.033431
Bihar,2018,gaya district,2200582,2639099796.7251387
Bihar,2018,gopalganj district,790613,1590080767.2302809
Bihar,2018,jamui district,383181,570043484.9588537
Bihar,2018,jehanabad district,463220,512340590.2089858
Bihar,2018,kaimur bhabua district,463448,675331968.107086
Bihar,2018,katihar district,974220,1762390181.0353649
Bihar,2018,khagaria district,494246,825976344.8303509
Bihar,2018,kishanganj district,331569,791639525.6482184
Bihar,2018,lakhisarai district,351541,441274133.4905535
Bihar,2018,madhepura district,564767,1162027599.5655386
Bihar,2018,madhubani district,1294505,2494865774.526972
Bihar,2018,munger district,478839,670186883.0126036
Bihar,2018,muzaffarpur district,2789424,4184023207.552063
Bihar,2018,nalanda district,2078306,2173118182.9888353
Bihar,2018,nawada district,631033,960462834.7507782
Bihar,2018,pashchim champaran district,1531433,2772670871.1948833
Bihar,2018,patna district,9464518,12391740468.075668
Bihar,2018,purbi champaran district,1904136,3294664750.091529
Bihar,2018,purnia district,910585,1701995569.8707662
Bihar,2018,rohtas district,1718258,2033501677.1979609
Bihar,2018,saharsa district,637942,1148848241.2771678
Bihar,2018,samastipur district,1469219,2396312227.9365506
Bihar,2018,saran district,1273060,2259816834.5488834
Bihar,2018,sheikhpura district,140573,217854121.85215494
Bihar,2018,sheohar district,158610,263039905.84878588
Bihar,2018,sitamarhi district,958201,1634151489.966557
Bihar,2018,siwan district,985265,1970356915.8513846
Bihar,2018,supaul district,579060,945070463.3677642
Bihar,2018,vaishali district,1468110,2307940698.0447245
Bihar,2019,araria district,1379411,4022497074.362193
Bihar,2019,arwal district,631699,917843684.6348612
Bihar,2019,aurangabad district,2275859,4261955367.3504744
Bihar,2019,banka district,742828,1189918647.8975596
Bihar,2019,begusarai district,2050279,3906774978.9656
Bihar,2019,bhagalpur district,2864737,5008239908.461288
Bihar,2019,bhojpur district,2011687,3888765220.326577
Bihar,2019,buxar district,1096970,1984712818.6334887
