State_Name,Year,District,Total_Count
Assam,2021,barpeta district,800861
Assam,2021,biswanath district,241404
Assam,2021,bongaigaon district,363424
Assam,2021,cachar district,774003
Assam,2021,charaideo district,183063
Assam,2021,chirang district,162364
Assam,2021,darrang district,321291
Assam,2021,dhemaji district,309990
Assam,2021,dhubri district,459691
Assam,2021,dibrugarh district,710914
Assam,2021,dima hasao district,109384
Assam,2021,goalpara district,412145
Assam,2021,golaghat district,445050
Assam,2021,hailakandi district,257738
Assam,2021,hojai district,290158
Assam,2021,jorhat district,522153
Assam,2021,kamrup district,664762
Assam,2021,kamrup metropolitan district,2621547
Assam,2021,karbi anglong district,262635
Assam,2021,karimganj district,405840
Assam,2021,kokrajhar district,272886
Assam,2021,lakhimpur district,402432
Assam,2021,majuli district,61786
Assam,2021,marigaon district,395281
Assam,2021,nagaon district,901242
Assam,2021,nalbari district,307627
Assam,2021,sivasagar district,343511
Assam,2021,sonitpur district,711613
Assam,2021,south salmara mancachar district,127246
Assam,2021,tinsukia district,603535
Assam,2021,udalguri district,261257
Assam,2021,west karbi anglong district,58048
Assam,2022,baksa district,441830
Assam,2022,barpeta district,1040211
Assam,2022,biswanath district,314450
Assam,2022,bongaigaon district,472056
Assam,2022,cachar district,1000742
Assam,2022,charaideo district,237730
Assam,2022,chirang district,213510
Assam,2022,darrang district,419039
Assam,2022,dhemaji district,401188
Assam,2022,dhubri district,601024
Assam,2022,dibrugarh district,911923
Assam,2022,dima hasao district,140876
Assam,2022,goalpara district,539130
Assam,2022,golaghat district,577046
Assam,2022,hailakandi district,336086
Assam,2022,hojai district,375037
Assam,2022,jorhat district,669157
Assam,2022,kamrup district,861807
Assam,2022,kamrup metropolitan district,3329180
Assam,2022,karbi anglong district,340804
Assam,2022,karimganj district,527452
Assam,2022,kokrajhar district,357548
Assam,2022,lakhimpur district,521456
Assam,2022,majuli district,80317
Assam,2022,marigaon district,513340
Assam,2022,nagaon district,1168748
Assam,2022,nalbari district,397448
Assam,2022,sivasagar district,443696
Assam,2022,sonitpur district,916829
Assam,2022,south salmara mancachar district,167510
Assam,2022,tinsukia district,778123
Assam,2022,udalguri district,341845
Assam,2022,west karbi anglong district,75924
Assam,2023,baksa district,390414
Assam,2023,barpeta district,923655
Assam,2023,biswanath district,278315
Assam,2023,bongaigaon district,418923
Assam,2023,cachar district,886140
Assam,2023,charaideo district,210093
Assam,2023,chirang district,189212
Assam,2023,darrang district,372231
Assam,2023,dhemaji district,354237
Assam,2023,dhubri district,535308
Assam,2023,dibrugarh district,802116
Assam,2023,dima hasao district,124066
Assam,2023,goalpara district,479067
Assam,2023,golaghat district,508988
Assam,2023,hailakandi district,298959
Assam,2023,hojai district,332418
Assam,2023,jorhat district,588308
Assam,2023,kamrup district,762629
Assam,2023,kamrup metropolitan district,2928389
Assam,2023,karbi anglong district,300764
Assam,2023,karimganj district,467226
Assam,2023,kokrajhar district,315575
Assam,2023,lakhimpur district,460745
Assam,2023,majuli district,70631
Assam,2023,marigaon district,455156
Assam,2023,nagaon district,1037038
Assam,2023,nalbari district,351148
Assam,2023,sivasagar district,391460
Assam,2023,sonitpur district,808757
Assam,2023,south salmara mancachar district,150117
Assam,2023,tinsukia district,687107
Assam,2023,udalguri district,301741
Assam,2023,west karbi anglong district,66985
Bihar,2018,araria district,214444
Bihar,2018,arwal district,73749
Bihar,2018,aurangabad district,282458
Bihar,2018,banka district,136628
Bihar,2018,begusarai district,371310
Bihar,2018,bhagalpur district,477956
Bihar,2018,bhojpur district,335343
Bihar,2018,buxar district,186034
Bihar,2018,darbhanga district,480077
Bihar,2018,gaya district,581738
Bihar,2018,gopalganj district,280938
Bihar,2018,jamui district,157842
Bihar,2018,jehanabad district,132806
Bihar,2018,kaimur bhabua district,151202
Bihar,2018,katihar district,293463
Bihar,2018,khagaria district,166131
Bihar,2018,kishanganj district,119124
Bihar,2018,lakhisarai district,118169
Bihar,2018,madhepura district,178154
Bihar,2018,madhubani district,444125
Bihar,2018,munger district,207249
Bihar,2018,muzaffarpur district,769921
Bihar,2018,nalanda district,467916
Bihar,2018,nawada district,216075
Bihar,2018,pashchim champaran district,450975
Bihar,2018,patna district,2504486
Bihar,2018,purbi champaran district,582507
Bihar,2018,purnia district,338350
Bihar,2018,rohtas district,416799
Bihar,2018,saharsa district,209510
Bihar,2018,samastipur district,487665
Bihar,2018,saran district,441714
Bihar,2018,sheikhpura district,68010
Bihar,2018,sheohar district,50383
Bihar,2018,sitamarhi district,309732
Bihar,2018,siwan district,356589
Bihar,2018,supaul district,197927
Bihar,2018,vaishali district,443377
Bihar,2019,araria district,478647
Bihar,2019,arwal district,155969
Bihar,2019,aurangabad district,608453
Bihar,2019,banka district,311378
Bihar,2019,begusarai district,756482
Bihar,2019,bhagalpur district,947576
Bihar,2019,bhojpur district,699972
Bihar,2019,buxar district,398475
Bihar,2019,darbhanga district,993672
Bihar,2019,gaya district,1198754
Bihar,2019,gopalganj district,633661
Bihar,2019,jamui district,353245
Bihar,2019,jehanabad district,276877
Bihar,2019,kaimur bhabua district,326812
Bihar,2019,katihar district,623311
Bihar,2019,khagaria district,344005
Bihar,2019,kishanganj district,279092
Bihar,2019,lakhisarai district,244214
Bihar,2019,madhepura district,378488
Bihar,2019,madhubani district,968612
Bihar,2019,munger district,406861
Bihar,2019,muzaffarpur district,1505033
Bihar,2019,nalanda district,903652
Bihar,2019,nawada district,469580
Bihar,2019,pashchim champaran district,975333
Bihar,2019,patna district,4510132
Bihar,2019,purbi champaran district,1254327
Bihar,2019,purnia district,704611
Bihar,2019,rohtas district,844146
Bihar,2019,saharsa district,435579
Bihar,2019,samastipur district,999407
Bihar,2019,saran district,985984
Bihar,2019,sheikhpura district,141960
Bihar,2019,sheohar district,108926
Bihar,2019,sitamarhi district,659378
Bihar,2019,siwan district,809142
Bihar,2019,supaul district,432292
Bihar,2019,vaishali district,933377
Bihar,2020,araria district,851547
Bihar,2020,arwal district,246052
Bihar,2020,aurangabad district,972509
Bihar,2020,banka district,540718
Bihar,2020,begusarai district,1193769
Bihar,2020,bhagalpur district,1482333
Bihar,2020,bhojpur district,1089803
Bihar,2020,buxar district,634912
Bihar,2020,darbhanga district,1604190
Bihar,2020,gaya district,1878099
Bihar,2020,gopalganj district,1084238
Bihar,2020,jamui district,597165
Bihar,2020,jehanabad district,439530
Bihar,2020,kaimur bhabua district,534561
Bihar,2020,katihar district,1037995
Bihar,2020,khagaria district,562996
Bihar,2020,kishanganj district,500245
Bihar,2020,lakhisarai district,381219
Bihar,2020,madhepura district,654351
Bihar,2020,madhubani district,1600850
Bihar,2020,munger district,617814
Bihar,2020,muzaffarpur district,2347763
Bihar,2020,nalanda district,1378778
Bihar,2020,nawada district,780227
Bihar,2020,pashchim champaran district,1637514
Bihar,2020,patna district,6280887
Bihar,2020,purbi champaran district,2134628
Bihar,2020,purnia district,1190106
Bihar,2020,rohtas district,1309516
Bihar,2020,saharsa district,715428
Bihar,2020,samastipur district,1608080
Bihar,2020,saran district,1609059
Bihar,2020,sheikhpura district,228426
Bihar,2020,sheohar district,183712
Bihar,2020,sitamarhi district,1090731
Bihar,2020,siwan district,1384973
Bihar,2020,supaul district,739069
Bihar,2020,vaishali district,1484254
Bihar,2021,araria district,1243283
Bihar,2021,arwal district,343120
Bihar,2021,aurangabad district,1362654
Bihar,2021,banka district,775243
Bihar,2021,begusarai district,1669850
Bihar,2021,bhagalpur district,2066534
Bihar,2021,bhojpur district,1517869
Bihar,2021,buxar district,888254
Bihar,2021,darbhanga district,2264657
Bihar,2021,gaya district,2600647
Bihar,2021,gopalganj district,1554885
Bihar,2021,jamui district,846246
Bihar,2021,jehanabad district,612868
Bihar,2021,kaimur bhabua district,747901
Bihar,2021,katihar district,1474236
Bihar,2021,khagaria district,803733
Bihar,2021,kishanganj district,727693
Bihar,2021,lakhisarai district,528853
Bihar,2021,madhepura district,942151
Bihar,2021,madhubani district,2267109
Bihar,2021,munger district,848957
Bihar,2021,muzaffarpur district,3256111
Bihar,2021,nalanda district,1904841
Bihar,2021,nawada district,1105794
Bihar,2021,pashchim champaran district,2323328
Bihar,2021,patna district,8352046
Bihar,2021,purbi champaran district,3063490
Bihar,2021,purnia district,1699501
Bihar,2021,rohtas district,1810715
Bihar,2021,saharsa district,1016009
Bihar,2021,samastipur district,2266796
Bihar,2021,saran district,2271897
Bihar,2021,sheikhpura district,322554
Bihar,2021,sheohar district,264349
Bihar,2021,sitamarhi district,1553397
Bihar,2021,siwan district,1988305
Bihar,2021,supaul district,1054621
Bihar,2021,vaishali district,2074677
Bihar,2022,araria district,1611595
Bihar,2022,arwal district,444147
Bihar,2022,aurangabad district,1765471
Bihar,2022,banka district,1006212
Bihar,2022,begusarai district,2149372
Bihar,2022,bhagalpur district,2655864
Bihar,2022,bhojpur district,1961634
Bihar,2022,buxar district,1147558
Bihar,2022,darbhanga district,2915414
Bihar,2022,gaya district,3345941
Bihar,2022,gopalganj district,2014437
Bihar,2022,jamui district,1096881
Bihar,2022,jehanabad district,790040
Bihar,2022,kaimur bhabua district,971482
Bihar,2022,katihar district,1912237
Bihar,2022,khagaria district,1044779
Bihar,2022,kishanganj district,943971
Bihar,2022,lakhisarai district,682114
Bihar,2022,madhepura district,1220327
Bihar,2022,madhubani district,2927571
Bihar,2022,munger district,1088802
Bihar,2022,muzaffarpur district,4190780
Bihar,2022,nalanda district,2450822
Bihar,2022,nawada district,1431317
Bihar,2022,pashchim champaran district,3022279
Bihar,2022,patna district,10591750
Bihar,2022,purbi champaran district,3985503
Bihar,2022,purnia district,2198261
Bihar,2022,rohtas district,2343889
Bihar,2022,saharsa district,1313565
